,Completed
720575940602353632,True
720575940604027168,True
720575940605158572,True
720575940605162924,True
720575940605513649,True
720575940605658033,True
720575940605682790,True
720575940606002609,True
720575940606607234,True
720575940606852018,True
720575940606866377,True
720575940607193986,True
720575940607250610,True
720575940607272649,True
720575940607386290,True
720575940607451081,True
720575940607689394,True
720575940608188427,True
720575940608349379,True
720575940608498780,True
720575940608601355,True
720575940608735241,True
720575940609016843,True
720575940609030776,True
720575940609133269,True
720575940609405635,True
720575940609407939,True
720575940609915204,True
720575940609935172,True
720575940609939780,True
720575940609993284,True
720575940610000964,True
720575940610001220,True
720575940610054980,True
720575940610232274,True
720575940610258552,True
720575940610259370,True
720575940610481370,True
720575940610483162,True
720575940610491694,True
720575940610609454,True
720575940610611246,True
720575940610621026,True
720575940610677828,True
720575940610690372,True
720575940610708430,True
720575940610803554,True
720575940610916465,True
720575940610956334,True
720575940611015122,True
720575940611149922,True
720575940611151406,True
720575940611160930,True
720575940611164770,True
720575940611366058,True
720575940611436408,True
720575940611442296,True
720575940611548878,True
720575940611549902,True
720575940611858906,True
720575940611875570,True
720575940611988197,True
720575940612036837,True
720575940612064113,True
720575940612208858,True
720575940612289010,True
720575940612357618,True
720575940612364530,True
720575940612423922,True
720575940612479205,True
720575940612537061,True
720575940612558061,True
720575940612579053,True
720575940612611301,True
720575940612648106,True
720575940612670570,True
720575940612692633,True
720575940612766515,True
720575940612865814,True
720575940612888178,True
720575940612906518,True
720575940612950568,True
720575940612952557,True
720575940613004402,True
720575940613061118,True
720575940613347299,True
720575940613670893,True
720575940613687789,True
720575940613743569,True
720575940613786774,True
720575940613898449,True
720575940613929391,True
720575940613943215,True
720575940613996959,True
720575940614128691,True
720575940614139089,True
720575940614281266,True
720575940614352278,True
720575940614418794,True
720575940614467751,True
720575940614483879,True
720575940614635175,True
720575940614660519,True
720575940614730914,True
720575940614736290,True
720575940614763666,True
720575940614965691,True
720575940615041430,True
720575940615052812,True
720575940615153494,True
720575940615292895,True
720575940615296818,True
720575940615495839,True
720575940615564959,True
720575940615582111,True
720575940615623867,True
720575940615671106,True
720575940615715003,True
720575940615811670,True
720575940616018956,True
720575940616103218,True
720575940616167730,True
720575940616177458,True
720575940616217403,True
720575940616466260,True
720575940616644411,True
720575940616673366,True
720575940616857174,True
720575940616860758,True
720575940616864086,True
720575940616864217,True
720575940616885538,True
720575940617000768,True
720575940617094208,True
720575940617373268,True
720575940617471133,True
720575940617488477,True
720575940617494877,True
720575940617552057,True
720575940617588258,True
720575940617593233,True
720575940617629841,True
720575940617755220,True
720575940617857694,True
720575940617937543,True
720575940618165019,True
720575940618472261,True
720575940618574749,True
720575940618600651,True
720575940618696989,True
720575940618726171,True
720575940618800064,True
720575940618859480,True
720575940618864725,True
720575940618936710,True
720575940618995393,True
720575940619028208,True
720575940619048827,True
720575940619114048,True
720575940619173534,True
720575940619176094,True
720575940619197093,True
720575940619247424,True
720575940619453831,True
720575940619455879,True
720575940619473624,True
720575940619559838,True
720575940619588568,True
720575940619696731,True
720575940619853515,True
720575940619877396,True
720575940619973712,True
720575940620025620,True
720575940620031366,True
720575940620061793,True
720575940620062288,True
720575940620096171,True
720575940620170887,True
720575940620254087,True
720575940620260773,True
720575940620262465,True
720575940620271636,True
720575940620274085,True
720575940620282900,True
720575940620292116,True
720575940620335269,True
720575940620374693,True
720575940620441024,True
720575940620445062,True
720575940620473547,True
720575940620474278,True
720575940620553094,True
720575940620633070,True
720575940620673985,True
720575940620714150,True
720575940620780272,True
720575940620805046,True
720575940620873793,True
720575940620874757,True
720575940620900446,True
720575940621008895,True
720575940621057702,True
720575940621089741,True
720575940621261296,True
720575940621329328,True
720575940621345012,True
720575940621399899,True
720575940621422518,True
720575940621442124,True
720575940621468404,True
720575940621490721,True
720575940621502051,True
720575940621538142,True
720575940621573030,True
720575940621577036,True
720575940621586854,True
720575940621736669,True
720575940621754367,True
720575940621771041,True
720575940621778381,True
720575940621902085,True
720575940622027222,True
720575940622154266,True
720575940622235425,True
720575940622298631,True
720575940622335197,True
720575940622348156,True
720575940622486922,True
720575940622537477,True
720575940622541005,True
720575940622612749,True
720575940622624214,True
720575940622695448,True
720575940622734106,True
720575940622810153,True
720575940622869799,True
720575940622902535,True
720575940623072013,True
720575940623154712,True
720575940623192781,True
720575940623208141,True
720575940623209165,True
720575940623210445,True
720575940623211725,True
720575940623260415,True
720575940623352063,True
720575940623381286,True
720575940623453959,True
720575940623478115,True
720575940623578375,True
720575940623617973,True
720575940623637226,True
720575940623986364,True
720575940624014483,True
720575940624023188,True
720575940624084372,True
720575940624247787,True
720575940624253991,True
720575940624273149,True
720575940624310857,True
720575940624484796,True
720575940624532408,True
720575940624600840,True
720575940624623287,True
720575940624897516,True
720575940624906483,True
720575940624963786,True
720575940624966840,True
720575940625045180,True
720575940625047484,True
720575940625102692,True
720575940625164558,True
720575940625175054,True
720575940625178768,True
720575940625203504,True
720575940625339981,True
720575940625580988,True
720575940625641402,True
720575940625705930,True
720575940625728551,True
720575940625737776,True
720575940625861168,True
720575940625861660,True
720575940625867056,True
720575940625874992,True
720575940625875504,True
720575940626038714,True
720575940626191306,True
720575940626256765,True
720575940626278974,True
720575940626279742,True
720575940626287336,True
720575940626289021,True
720575940626308697,True
720575940626375164,True
720575940626390018,True
720575940626468178,True
720575940626476305,True
720575940626478082,True
720575940626495746,True
720575940626626597,True
720575940626741891,True
720575940626919144,True
720575940626972056,True
720575940626993694,True
720575940626999464,True
720575940627083294,True
720575940627086594,True
720575940627107271,True
720575940627383685,True
720575940627404858,True
720575940627410451,True
720575940627419155,True
720575940627446661,True
720575940627578156,True
720575940627582724,True
720575940627679765,True
720575940627692048,True
720575940627704392,True
720575940627709956,True
720575940627779983,True
720575940627812168,True
720575940627814728,True
720575940627819151,True
720575940627827697,True
720575940627828296,True
720575940627847752,True
720575940628024107,True
720575940628114684,True
720575940628386295,True
720575940628478736,True
720575940628598121,True
720575940628630171,True
720575940628648809,True
720575940628676457,True
720575940628683063,True
720575940628755815,True
720575940628784066,True
720575940628826128,True
720575940628853239,True
720575940628972048,True
720575940628995331,True
720575940628997123,True
720575940628998659,True
720575940629000783,True
720575940629146711,True
720575940629176663,True
720575940629207963,True
720575940629239934,True
720575940629421415,True
720575940629508599,True
720575940629561347,True
720575940629623351,True
720575940629664768,True
720575940629744599,True
720575940629752190,True
720575940629778554,True
720575940629804158,True
720575940629810748,True
720575940629812346,True
720575940629852866,True
720575940629888530,True
720575940630034231,True
720575940630044278,True
720575940630094652,True
720575940630166583,True
720575940630195909,True
720575940630233916,True
720575940630291767,True
720575940630347628,True
720575940630488540,True
720575940630553415,True
720575940630579574,True
720575940630580854,True
720575940630664556,True
720575940630667372,True
720575940630670890,True
720575940630674038,True
720575940630683385,True
720575940630686060,True
720575940630689644,True
720575940630771449,True
720575940630781433,True
720575940630797113,True
720575940630806267,True
720575940630820919,True
720575940630865724,True
720575940630868793,True
720575940630903291,True
720575940630931999,True
720575940630980559,True
720575940630996055,True
720575940630999493,True
720575940631108303,True
720575940631168057,True
720575940631243279,True
720575940631283267,True
720575940631309866,True
720575940631340815,True
720575940631349335,True
720575940631406411,True
720575940631629160,True
720575940631662648,True
720575940631703608,True
720575940631714119,True
720575940631898285,True
720575940631918649,True
720575940631959097,True
720575940631994728,True
720575940631997032,True
720575940631999080,True
720575940632030008,True
720575940632047890,True
720575940632118156,True
720575940632134227,True
720575940632159519,True
720575940632252743,True
720575940632274914,True
720575940632304711,True
720575940632365905,True
720575940632425919,True
720575940632556831,True
720575940632602532,True
720575940632636959,True
720575940632648612,True
720575940632659404,True
720575940632722771,True
720575940632873261,True
720575940632877869,True
720575940632889389,True
720575940632962786,True
720575940633116256,True
720575940633143833,True
720575940633170969,True
720575940633185567,True
720575940633277209,True
720575940633293025,True
720575940633308371,True
720575940633316563,True
720575940633356883,True
720575940633373651,True
720575940633518176,True
720575940633612698,True
720575940633674135,True
720575940634093337,True
720575940634210155,True
720575940634301852,True
720575940634428058,True
720575940634645600,True
720575940634756203,True
720575940634788247,True
720575940634796536,True
720575940634825623,True
720575940634844408,True
720575940635055039,True
720575940635166571,True
720575940635172191,True
720575940635179871,True
720575940635210859,True
720575940635211115,True
720575940635239672,True
720575940635451546,True
720575940635527092,True
720575940635578303,True
720575940635611316,True
720575940635839077,True
720575940635925615,True
720575940636053678,True
720575940636165624,True
720575940636346487,True
720575940636809646,True
720575940636828334,True
720575940636895406,True
720575940637144944,True
720575940637360730,True
720575940637568838,True
720575940637656286,True
720575940637742150,True
720575940637763135,True
720575940637788137,True
720575940637790527,True
720575940638088262,True
720575940638103349,True
720575940638181092,True
720575940638202345,True
720575940638557312,True
720575940638604915,True
720575940639170723,True
720575940639198397,True
720575940639198653,True
720575940639274147,True
720575940639285949,True
720575940639332736,True
720575940639425112,True
720575940639785379,True
720575940639786915,True
720575940639972816,True
720575940640032600,True
720575940640649691,True
720575940640839120,True
720575940641366517,True
720575940641480949,True
720575940641536987,True
720575940642335373,True
720575940642428045,True
720575940643543496,True
720575940643867296,True
720575940644653348,True
720575940644758308,True
720575940644965399,True
720575940644968215,True
720575940645045527,True
720575940645047831,True
720575940645352814,True
720575940645521262,True
720575940645743412,True
720575940646212996,True
720575940647029044,True
720575940647030324,True
720575940647033396,True
720575940647228468,True
720575940647473796,True
720575940647518340,True
720575940648864633,True
720575940649829241,True
720575940652580086,True
720575940655011489,True
720575940655013025,True
720575940655014049,True
720575940660219265,True
720575940660220289,True
720575940660223873,True
720575940660229505,True
720575940660292225,True
